"year","fips","pop2010","pop2023","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density"
2023,6041,252409,265294,"California","CA",0.05104810050354791,"Marin County","Marin County","marin-county-ca",520,510.1807692307692
2023,26077,250331,265072,"Michigan","MI",0.05888603488980593,"Kalamazoo County","Kalamazoo County","kalamazoo-county-mi",562,471.65836298932385
2023,17119,269282,264833,"Illinois","IL",-0.016521713296841267,"Madison County","Madison County","madison-county-il",716,369.87849162011173
2023,29047,221939,262755,"Missouri","MO",0.1839063886923884,"Clay County","Clay County","clay-county-mo",398,660.1884422110553
2023,53077,243231,260778,"Washington","WA",0.07214129777865486,"Yakima County","Yakima County","yakima-county-wa",4296,60.702513966480446
2023,5143,203065,258714,"Arkansas","AR",0.2740452564449807,"Washington County","Washington County","washington-county-ar",942,274.64331210191085
2023,48245,252273,257801,"Texas","TX",0.021912769103312746,"Jefferson County","Jefferson County","jefferson-county-tx",876,294.2933789954338
2023,51550,222209,257585,"Virginia","VA",0.15920147248761296,"Chesapeake City","Chesapeake City","chesapeake-city-va",341,755.3812316715542
2023,17163,270056,253602,"Illinois","IL",-0.060928103800693134,"St. Clair County","St. Clair County","st-clair-county-il",658,385.4133738601824
2023,13151,203922,251749,"Georgia","GA",0.23453575386667458,"Henry County","Henry County","henry-county-ga",319,789.1818181818181
2023,39165,212693,251229,"Ohio","OH",0.1811813270770548,"Warren County","Warren County","warren-county-oh",401,626.5062344139651
2023,10005,197145,249447,"Delaware","DE",0.2652971163356921,"Sussex County","Sussex County","sussex-county-de",936,266.50320512820514
2023,37179,201292,249361,"North Carolina","NC",0.23880233690360275,"Union County","Union County","union-county-nc",632,394.5585443037975
2023,51013,207627,247949,"Virginia","VA",0.19420402934107805,"Arlington County","Arlington County","arlington-county-va",26,9536.5
2023,22055,221578,247807,"Louisiana","LA",0.11837366525557602,"Lafayette Parish","Lafayette Parish","lafayette-parish-la",269,921.2156133828996
2023,1003,182265,246617,"Alabama","AL",0.3530683345677996,"Baldwin County","Baldwin County","baldwin-county-al",1590,155.1050314465409
2023,48041,194851,245549,"Texas","TX",0.2601885543312583,"Brazos County","Brazos County","brazos-county-tx",586,419.0255972696246
2023,45015,177843,245467,"South Carolina","SC",0.3802454974331293,"Berkeley County","Berkeley County","berkeley-county-sc",1099,223.35486806187444
2023,4025,211033,243763,"Arizona","AZ",0.1550942269692417,"Yavapai County","Yavapai County","yavapai-county-az",8124,30.00529295913343
2023,16027,188923,243759,"Idaho","ID",0.2902558185080695,"Canyon County","Canyon County","canyon-county-id",587,415.2623509369676
2023,48423,209714,240607,"Texas","TX",0.14731014619910932,"Smith County","Smith County","smith-county-tx",922,260.9620390455531
2023,36091,219607,240279,"New York","NY",0.09413178997026517,"Saratoga County","Saratoga County","saratoga-county-ny",810,296.64074074074074
2023,37025,178011,240141,"North Carolina","NC",0.3490233749599745,"Cabarrus County","Cabarrus County","cabarrus-county-nc",362,663.3729281767955
2023,1125,194656,236750,"Alabama","AL",0.2162481505835936,"Tuscaloosa County","Tuscaloosa County","tuscaloosa-county-al",1322,179.08472012102874
2023,51710,242803,236565,"Virginia","VA",-0.025691610070715742,"Norfolk City","Norfolk City","norfolk-city-va",54,4380.833333333333
2023,19113,211226,236020,"Iowa","IA",0.11738138297368694,"Linn County","Linn County","linn-county-ia",717,329.1771269177127
2023,53073,201140,234560,"Washington","WA",0.1661529283086407,"Whatcom County","Whatcom County","whatcom-county-wa",2107,111.32415757000474
2023,37071,206086,234501,"North Carolina","NC",0.13787933192938873,"Gaston County","Gaston County","gaston-county-nc",356,658.7106741573034
2023,47125,172331,234391,"Tennessee","TN",0.36012093007061985,"Montgomery County","Montgomery County","montgomery-county-tn",539,434.8627087198516
2023,39085,230041,233371,"Ohio","OH",0.0144756804221855,"Lake County","Lake County","lake-county-oh",228,1023.5570175438596
2023,51760,204214,233330,"Virginia","VA",0.14257592525487972,"Richmond City","Richmond City","richmond-city-va",60,3888.8333333333335
2023,25001,215888,232929,"Massachusetts","MA",0.07893444749129186,"Barnstable County","Barnstable County","barnstable-county-ma",394,591.1903553299493
2023,22017,254969,232712,"Louisiana","LA",-0.08729296502712092,"Caddo Parish","Caddo Parish","caddo-parish-la",879,264.7463026166098
2023,37129,202667,232614,"North Carolina","NC",0.1477645595977639,"New Hanover County","New Hanover County","new-hanover-county-nc",192,1211.53125
2023,1117,195085,231406,"Alabama","AL",0.1861803829100135,"Shelby County","Shelby County","shelby-county-al",785,294.7847133757962
2023,36065,234878,231300,"New York","NY",-0.015233440339239901,"Oneida County","Oneida County","oneida-county-ny",1212,190.84158415841586
2023,37101,168878,230135,"North Carolina","NC",0.36272930754746024,"Johnston County","Johnston County","johnston-county-nc",791,290.94184576485463
2023,41029,203206,229274,"Oregon","OR",0.1282836136728247,"Jackson County","Jackson County","jackson-county-or",2784,82.35416666666667
